b'pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode\r\n'
b'HS,2010,201009,September 2010,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5495264533,,,0\r\n'
b'HS,2010,201009,September 2010,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,3714024770,,,0\r\n'
b'HS,2010,201010,October 2010,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,4572623659,,,0\r\n'
b'HS,2010,201010,October 2010,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,4737106578,,,0\r\n'
b'HS,2010,201011,November 2010,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,6634178807,,,0\r\n'
b'HS,2010,201011,November 2010,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5061166133,,,0\r\n'
b'HS,2010,201012,December 2010,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7459235954,,,0\r\n'
b'HS,2010,201012,December 2010,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,4787076431,,,0\r\n'
b'HS,2011,201101,January 2011,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7051924193,,,0\r\n'
b'HS,2011,201101,January 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5267349830,,,0\r\n'
b'HS,2011,201102,February 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,4650884205,,,0\r\n'
b'HS,2011,201102,February 2011,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5258,,,0\r\n'
b'HS,2011,201103,March 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5898359705,,,0\r\n'
b'HS,2011,201103,March 2011,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,4611833,,,0\r\n'
b'HS,2011,201104,April 2011,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,8090984792,,,0\r\n'
b'HS,2011,201104,April 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,6373073403,,,0\r\n'
b'HS,2011,201104,April 2011,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,73555,,,0\r\n'
b'HS,2011,201105,May 2011,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7244191831,,,0\r\n'
b'HS,2011,201105,May 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,6231107391,,,0\r\n'
b'HS,2011,201105,May 2011,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5369,,,0\r\n'
b'HS,2011,201106,June 2011,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7568573858,,,0\r\n'
b'HS,2011,201106,June 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5118541281,,,0\r\n'
b'HS,2011,201106,June 2011,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,2164717,,,0\r\n'
b'HS,2011,201107,July 2011,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7528715095,,,0\r\n'
b'HS,2011,201107,July 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,5120179277,,,0\r\n'
b'HS,2011,201107,July 2011,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,906198,,,0\r\n'
b'HS,2011,201108,August 2011,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7419573952,,,0\r\n'
b'HS,2011,201108,August 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,4455828151,,,0\r\n'
b'HS,2011,201108,August 2011,2,0,4,Re-imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,609573,,,0\r\n'
b'HS,2011,201109,September 2011,2,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,7718587329,,,0\r\n'
b'HS,2011,201109,September 2011,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",0,,,,,,,,4746808802,,,0\r\n'
