Lukoil,Kazmunaygaz,https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries
eon Ruhrgas,Gaz de France,https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries
Gazprom,Sovkomflot,https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries
Gazprom,Gasunie,https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries
eon Ruhrgas,Gasunie,https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries
eon Ruhrgas,BASF,https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries
Gasunie,BASF,https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries
Gazprom,Total,https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries
Gazprom,Statoil,https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries
statoil,Total,https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries
Gazprom,Botas,https://en.wikipedia.org/wiki/List_of_Gazprom_subsidiaries
Iranian National Oil Company,IDRO,https://en.wikipedia.org/wiki/National_Iranian_Oil_Company
Iranian National Oil Company,BP,https://en.wikipedia.org/wiki/National_Iranian_Oil_Company
Iranian National Oil Company,TPAO,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
Iranian National Oil Company,SOCAR,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
Iranian National Oil Company,Petronas,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
Iranian National Oil Company,Lukoil,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
BP,TPAO,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
BP,SOCAR,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
BP,Petronas,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
BP,Lukoil,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
TPAO,SOCAR,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
TPAO,Petronas,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
TPAO,Lukoil,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
SOCAR,Petronas,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
SOCAR,Lukoil,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
