Oil products balance of trade (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,
America,-19.4,-36.8,-27.0,-28.2,-20.6,-27.0,-17.9,-10.9,-3.1,2.3,8.1,4.0,-2.7,9.8,13.1,33.8,32.3,34.8,6.9,-20.8,-2.2,-28.0,-38.2,-48.8,-58.9,-45.7,,
North America,18.2,2.1,4.5,-2.7,2.7,-6.8,1.2,-1.1,10.0,13.5,18.4,21.4,14.0,21.0,34.2,50.0,38.9,26.1,-6.4,-26.2,-39.5,-64.2,-85.3,-93.9,-107.0,-111.7,,
Canada,-3.6,-5.1,-3.4,-4.9,-4.9,-5.2,-7.1,-6.7,-5.4,-6.4,-7.0,-8.6,-11.3,-9.0,-9.0,-7.2,-6.0,-7.8,-5.6,-8.3,-9.1,-3.4,-11.2,-13.2,-9.7,-10.0,,
United States,21.8,7.2,8.0,2.1,7.5,-1.7,8.3,5.6,15.4,19.9,25.4,30.0,25.3,30.0,43.2,57.1,44.9,33.9,-0.8,-17.9,-30.4,-60.8,-74.1,-80.8,-97.2,-101.7,,
Latin America,-37.6,-38.8,-31.6,-25.4,-23.3,-20.2,-19.0,-9.9,-13.1,-11.2,-10.4,-17.4,-16.7,-11.2,-21.2,-16.1,-6.6,8.7,13.2,5.4,37.2,36.2,47.1,45.1,48.0,66.0,,
Argentina,-3.6,-3.2,-3.3,-2.8,-1.8,-1.3,-2.1,-3.1,-3.2,-4.0,-3.8,-7.1,-7.5,-7.8,-6.1,-5.5,-4.8,-5.5,-1.2,-0.8,1.4,2.7,2.4,2.5,1.6,0.9,,
Brazil,-1.1,0.9,1.5,7.5,5.3,8.6,10.5,11.0,9.3,9.8,8.6,7.0,5.2,1.6,-0.1,1.1,2.1,4.0,7.4,5.5,15.1,17.5,17.6,16.0,17.6,16.4,,
Chile,0.3,0.6,0.8,0.9,1.4,1.5,2.3,2.1,1.8,1.6,1.0,0.2,1.2,0.5,1.6,2.1,2.0,6.1,6.6,5.7,6.5,6.4,6.6,6.5,6.0,6.9,,
Colombia,-2.5,-2.7,-1.3,-1.4,-1.5,-1.3,-2.3,-2.0,-1.7,-3.6,-3.5,-4.1,-3.7,-3.9,-4.1,-3.6,-3.9,-2.5,-2.5,-2.5,-2.4,-2.6,-1.9,-1.5,-1.8,1.1,,
Mexico,0.3,2.2,2.6,1.3,4.2,0.7,4.2,9.3,10.0,11.2,16.0,13.5,10.4,8.9,10.5,13.3,15.0,18.2,19.7,13.4,19.3,22.8,24.1,18.8,19.6,24.3,,
Venezuela,-30.0,-35.1,-30.0,-30.1,-32.8,-33.8,-36.0,-37.0,-37.8,-37.0,-37.1,-33.7,-32.8,-23.8,-34.6,-34.9,-32.7,-27.6,-30.3,-31.1,-24.6,-31.1,-23.2,-18.6,-18.9,-17.6,,
Asia,73.4,63.0,70.2,82.1,90.8,100.5,97.6,96.2,90.1,100.2,86.5,82.7,101.9,94.3,105.1,72.4,72.0,72.1,63.5,67.2,82.1,85.4,85.0,87.6,84.0,76.3,,
China,-3.1,-1.3,1.7,13.5,9.5,11.7,13.9,22.5,20.5,16.8,13.8,15.9,17.1,22.4,32.9,23.7,28.7,24.1,25.6,19.8,19.7,24.7,24.6,21.4,11.6,3.8,,
India,6.0,6.5,7.6,8.1,10.7,16.5,16.8,19.7,22.6,13.5,1.3,-2.4,-2.5,-7.0,-11.5,-10.7,-15.1,-17.9,-20.1,-36.4,-41.7,-47.1,-48.9,-53.2,-47.3,-39.8,,
Indonesia,-7.9,-7.4,-7.5,-4.4,-6.0,-2.9,-4.6,1.3,-1.7,1.8,3.9,3.5,6.7,6.4,12.4,15.0,10.8,14.0,14.9,14.1,19.3,22.0,24.9,25.6,25.1,28.6,,
Japan,54.0,46.7,43.6,37.6,40.3,43.0,47.4,38.6,39.5,46.3,46.6,42.0,45.9,45.2,44.5,40.1,36.7,28.9,21.6,22.6,26.2,34.3,37.9,29.0,28.0,25.6,,
Malaysia,2.0,3.3,3.8,4.2,2.3,0.1,-0.3,2.4,2.1,1.2,-1.9,-2.0,-0.9,-1.9,0.0,-0.5,-1.8,0.6,-1.5,-0.1,1.8,2.1,-1.3,7.0,7.2,8.3,,
South Korea,8.6,3.5,3.1,5.1,10.2,8.4,5.0,-9.1,-19.2,-18.0,-16.4,-15.4,-4.6,-2.7,-9.6,-15.0,-16.9,-15.2,-18.5,-12.6,-12.7,-21.4,-21.0,-16.2,-17.9,-23.6,,
Taiwan,6.0,5.4,5.7,5.3,8.4,6.8,4.5,4.4,5.4,5.0,5.5,4.4,2.5,-1.6,-4.4,-7.3,-3.8,-2.7,-2.6,-5.2,1.0,0.9,-3.3,-1.4,0.3,0.4,,
Thailand,7.5,7.9,7.9,8.7,8.3,8.9,4.4,-1.7,-2.8,-3.0,-3.4,-5.0,-4.5,-3.8,-3.8,-3.3,-5.3,-5.6,-8.9,-9.9,-9.3,-7.8,-9.2,-9.3,-7.6,-10.8,,
Pacific,2.1,0.5,0.4,0.9,1.9,2.7,2.4,2.2,1.3,3.2,3.2,3.4,2.6,4.2,9.0,9.5,11.6,11.5,14.6,16.1,16.1,15.4,18.4,20.5,21.6,27.8,,
Australia,1.0,-0.6,-0.9,-0.2,0.2,0.5,0.0,-0.4,-1.0,0.2,0.7,0.5,-0.4,0.6,5.3,6.6,8.5,7.9,11.2,12.9,13.2,12.5,15.6,17.5,18.2,24.3,,
New Zealand,0.0,0.1,0.3,0.1,0.5,0.9,1.1,1.0,0.7,1.2,1.0,1.1,1.1,1.4,2.0,1.8,1.9,2.3,2.0,2.0,1.7,1.6,1.5,1.8,2.1,1.9,,
Africa,-21.6,-22.2,-22.3,-22.3,-22.7,-23.0,-23.1,-28.6,-15.8,-18.8,-14.2,-21.7,-21.3,-10.3,-5.3,-5.5,4.6,10.7,19.3,30.0,31.3,41.9,49.1,53.3,58.2,71.8,,
Algeria,-17.2,-16.6,-17.2,-16.6,-16.3,-16.7,-16.3,-19.3,-18.5,-20.1,-21.2,-21.9,-20.2,-20.0,-16.7,-16.2,-16.1,-16.8,-17.1,-16.3,-19.1,-17.4,-13.4,-12.9,-20.7,-18.4,,
Egypt,-1.6,-3.0,-3.1,-4.2,-6.1,-5.2,-4.2,-3.4,-2.6,-1.3,-0.5,-4.2,-5.1,-5.5,-2.9,-1.8,-0.9,-0.7,2.7,6.2,4.3,6.6,7.3,7.2,8.5,9.1,,
Nigeria,-2.9,-2.9,-1.2,-1.2,0.4,-1.0,-1.7,-0.6,2.3,0.9,6.2,2.2,2.3,6.8,5.4,3.6,4.5,5.7,7.2,7.2,7.6,6.4,7.3,7.1,7.7,8.3,,
South Africa,0.0,0.0,0.0,-2.3,-2.8,-2.8,-2.3,-8.2,-2.4,-4.0,-5.4,-5.5,-7.6,-4.2,-2.0,-3.9,0.3,4.5,3.8,4.1,4.5,6.1,4.7,4.5,3.7,8.4,,
Middle-East,-84.5,-60.8,-79.0,-85.5,-106.0,-108.5,-118.0,-122.4,-121.3,-129.4,-124.0,-107.1,-108.0,-117.9,-113.8,-108.3,-98.3,-82.3,-81.7,-84.6,-98.5,-97.4,-90.0,-77.7,-80.4,-101.9,,
Iran,2.7,3.2,2.8,-0.6,-4.7,-6.5,-8.2,-10.1,-12.5,-20.7,-16.6,-14.0,-15.0,-13.3,-11.1,-9.5,-7.6,-5.7,-3.5,-5.5,-10.4,-16.6,-12.1,-10.9,-7.2,-10.9,,
Kuwait,-10.0,-1.2,-12.1,-18.9,-32.8,-36.3,-35.1,-39.4,-36.6,-38.2,-30.8,-25.9,-27.7,-32.3,-31.9,-31.2,-32.3,-33.4,-30.0,-27.4,-31.3,-30.8,-32.6,-29.8,-25.3,-26.5,,
Saudi Arabia,-61.0,-52.2,-54.7,-53.8,-55.7,-54.6,-61.9,-58.5,-56.6,-52.4,-54.3,-51.1,-44.8,-54.1,-58.3,-60.6,-54.2,-47.1,-46.5,-50.0,-50.3,-40.9,-43.8,-33.6,-46.2,-56.1,,
United Arab Emirates,2.1,4.8,4.1,4.5,5.8,4.7,3.1,1.7,1.7,-2.2,-7.3,-5.5,-6.8,-6.2,-4.5,-3.0,1.0,3.3,4.9,2.6,2.9,2.4,3.4,3.5,7.2,6.4,,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The information made available in the Enerdata Yearbook shall not be published without explicit consent from Enerdata.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
