Oil: Refinery Capacities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change,2015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 over,share,
Thousand barrels daily*,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2014,of total,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,340,340,380,500,500,500,500,500,480,460,460,460,460,460,460,460,460,460,460,460,460,_,0.5%,
Belgium,335,352,502,611,692,721,837,847,865,936,978,1113,1082,1076,1076,1060,1060,726,726,607,569,609,676,686,693,684,662,662,662,665,669,686,689,707,709,739,758,780,776,751,756,766,781,786,786,787,788,753,776,776,776,_,0.8%,
Bulgaria,54,63,63,74,100,131,161,170,201,231,231,240,241,277,277,277,277,277,277,277,277,277,277,277,277,277,267,257,237,237,210,210,210,120,120,120,120,120,120,180,205,205,175,175,180,195,195,195,195,195,195,_,0.2%,
Czech Republic,24,24,58,58,58,58,58,58,58,120,120,120,120,120,120,120,120,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,200,200,200,200,200,193,193,193,193,193,193,193,193,193,178,178,178,178,_,0.2%,
Denmark,53,113,127,162,179,189,216,222,227,220,226,226,221,220,220,220,220,185,185,174,175,175,175,174,193,193,193,180,185,185,221,234,178,178,184,184,184,189,189,188,189,189,189,189,189,189,181,181,181,180,180,_,0.2%,
Finland,60,84,110,130,185,185,193,196,201,201,201,300,301,301,301,300,301,249,241,240,241,241,241,240,201,201,201,200,201,241,241,250,251,261,261,261,261,261,261,260,261,261,261,261,261,261,261,261,261,261,261,_,0.3%,
France,1411,1590,1683,1949,2113,2339,2431,2902,3090,3402,3404,3438,3439,3395,3351,3326,3179,2831,2378,2194,2184,1919,1927,1815,1699,1699,1699,1711,1687,1697,1728,1749,1872,1918,1933,1984,1961,1987,1967,1982,1978,1959,1962,1971,1842,1702,1610,1513,1375,1375,1375,_,1.4%,
Germany,1747,1911,2324,2436,2502,2643,2773,2918,3192,3268,3461,3452,3505,3603,3492,3422,3333,2976,2735,2553,2198,2158,2061,2077,2018,2024,2209,2219,2248,2272,2104,2098,2170,2206,2240,2262,2274,2286,2304,2320,2322,2390,2390,2366,2362,2091,2077,2097,2061,2077,2032,-2.1%,2.1%,
Greece,37,89,91,90,97,97,105,125,314,411,420,407,407,413,418,443,443,443,403,403,403,403,403,403,403,403,403,295,295,385,403,403,403,403,403,412,412,412,412,412,418,425,425,425,425,490,495,498,498,498,498,_,0.5%,
Hungary,90,99,105,115,125,134,137,150,165,177,201,204,221,251,291,290,291,291,285,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,165,165,165,165,165,165,165,165,165,165,165,165,165,165,_,0.2%,
Ireland,46,46,49,51,52,52,52,58,58,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,58,65,66,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,_,0.1%,
Italy,1560,2198,2564,2625,2738,2939,3539,3628,3792,3889,4343,4343,4270,3803,3201,3101,3036,2795,2777,2738,2585,2586,2591,2475,2474,2528,2535,2455,2359,2359,2359,2344,2345,2385,2485,2485,2485,2485,2485,2497,2515,2526,2377,2396,2396,2396,2276,2113,1876,1915,1915,_,2.0%,
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,220,220,220,220,220,360,360,360,360,360,360,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,350,350,350,_,0.4%,
Lithuania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,120,120,120,120,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,241,241,241,241,241,241,241,241,241,241,241,241,_,0.2%,
Netherlands,614,659,773,846,1319,1348,1587,1826,1826,1841,1985,2031,1869,1850,1850,1852,1705,1625,1504,1500,1478,1456,1363,1359,1367,1207,1225,1254,1197,1197,1257,1234,1261,1261,1277,1277,1278,1282,1282,1284,1274,1274,1236,1280,1280,1274,1276,1274,1274,1274,1293,1.4%,1.3%,
Norway,60,60,98,107,117,194,161,173,168,168,259,259,264,260,260,250,240,240,240,240,240,240,240,210,260,291,288,288,288,288,298,308,308,310,323,305,307,316,316,316,316,316,316,316,316,316,316,316,316,316,316,_,0.3%,
Poland,86,86,86,161,161,161,201,241,241,241,311,320,351,361,361,361,361,361,361,361,361,361,361,361,361,361,335,335,335,341,341,341,361,372,378,384,386,482,482,485,507,498,493,492,491,560,580,582,582,582,581,-0.1%,0.6%,
Portugal,24,24,24,24,64,80,80,80,131,131,191,191,191,241,201,201,201,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,_,0.3%,
Romania,241,241,281,280,301,321,337,336,372,402,402,471,510,538,583,618,618,618,618,618,618,618,618,678,698,698,698,597,567,532,532,528,525,512,438,391,461,421,419,378,389,389,389,358,283,247,229,214,235,228,246,7.5%,0.3%,
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6857,6857,7027,7067,7067,7127,7193,7193,7193,7193,7193,7193,6541,6466,6124,6117,6075,5732,5603,5541,5526,5546,5454,5323,5326,5408,5524,5481,5397,5435,5573,5731,5836,6245,6352,6428,1.2%,6.6%,
Slovakia,68,72,84,94,114,118,145,151,159,159,151,149,143,200,200,200,200,200,200,200,200,200,200,200,200,180,180,180,180,180,150,115,115,115,115,120,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,_,0.1%,
Spain,311,341,482,511,723,894,894,894,894,964,994,1212,1275,1362,1372,1392,1422,1427,1402,1372,1312,1312,1312,1312,1287,1267,1272,1272,1277,1282,1308,1324,1312,1312,1326,1330,1330,1330,1347,1372,1377,1362,1362,1362,1362,1421,1542,1546,1546,1546,1546,_,1.6%,
Sweden,98,153,153,253,253,253,253,253,253,253,253,420,420,426,441,471,471,451,451,444,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,_,0.4%,
Switzerland,43,93,98,98,103,99,102,120,140,138,138,137,137,132,132,132,132,132,132,132,132,132,132,132,60,80,132,132,132,132,132,132,132,132,132,132,132,132,136,140,140,140,140,140,140,140,140,106,140,140,68,-51.4%,0.1%,
Turkey,96,96,120,120,204,204,204,280,281,281,281,280,311,320,350,366,366,466,466,466,466,579,703,703,703,703,708,713,713,713,713,713,713,713,713,713,713,713,713,613,613,613,613,613,613,613,613,613,613,613,613,_,0.6%,
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,130,130,180,180,180,180,180,180,180,180,180,280,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,270,300,300,300,300,300,300,300,_,0.3%,
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1133,1133,1133,1293,1293,1293,1293,1293,1293,1293,1233,1233,1233,1233,1083,1083,1083,1083,1083,1083,891,731,699,639,639,525,525,526,566,582,474,474,248,262,248,248,_,0.3%,
United Kingdom,1474,1683,1731,1957,2195,2305,2450,2487,2852,2984,2940,2916,2801,2681,2677,2614,2518,2281,2022,1919,1864,1805,1823,1814,1827,1850,1827,1837,1844,1866,1844,1873,1823,1848,1777,1778,1769,1785,1813,1848,1819,1836,1819,1827,1757,1757,1787,1526,1498,1337,1337,_,1.4%,
USSR,4518,4780,5061,5342,5623,6105,6527,6828,7230,8033,8435,9037,9840,9762,9942,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
